UID_csoc;csoc_Q01_01;csoc_Q01_02;csoc_Q01_03;csoc_Q01_04;csoc_Q01_05;csoc_Q01_06;csoc_Q01_07;csoc_Q01_08;csoc_Q01_09;csoc_Q01_10;csoc_Q02_01;csoc_Q02_02;csoc_Q02_03;csoc_Q02_04;csoc_Q03;csoc_Q04;csoc_Q05;csoc_Q06_01;csoc_Q06_02;csoc_Q06_03;csoc_Q06_04;csoc_Q06_05;csoc_Q07_01;csoc_Q07_02;csoc_Q07_03;csoc_Q07_04;csoc_Q07_05;csoc_Q08_01;csoc_Q08_02;csoc_Q08_03;csoc_Q09;csoc_Q10;csoc_Q11_01;csoc_Q11_02;csoc_Q12_01;csoc_Q12_02;csoc_Q12_03;csoc_Q13;csoc_Q14;csoc_Q15;csoc_Q16;csoc_Q17;csoc_Q18;csoc_Q19;csoc_Q20;csoc_Q21;csoc_Q22;csoc_Q23;csoc_Q24;csoc_Q25;csoc_Q26_01;csoc_Q26_02;csoc_Q27;csoc_Q28_01;csoc_Q28_02;csoc_Q29_01_1;csoc_Q29_01_2;csoc_Q29_01_3;csoc_Q29_01_4;csoc_Q29_01_5;csoc_Q29_02_1;csoc_Q29_02_2;csoc_Q29_02_3;csoc_Q29_02_4;csoc_Q29_02_5;csoc_Q29_03_1;csoc_Q29_03_2;csoc_Q29_03_3;csoc_Q29_03_4;csoc_Q29_03_5;csoc_Q29_04_1;csoc_Q29_04_2;csoc_Q29_04_3;csoc_Q29_04_4;csoc_Q29_04_5;csoc_Q29_05_1;csoc_Q29_05_2;csoc_Q29_05_3;csoc_Q29_05_4;csoc_Q29_05_5;csoc_Q29_06_1;csoc_Q29_06_2;csoc_Q29_06_3;csoc_Q29_06_4;csoc_Q29_06_5;csoc_Q29_07_1;csoc_Q29_07_2;csoc_Q29_07_3;csoc_Q29_07_4;csoc_Q29_07_5;csoc_Q29_08_1;csoc_Q29_08_2;csoc_Q29_08_3;csoc_Q29_08_4;csoc_Q29_08_5;csoc_Q29_09_1;csoc_Q29_09_2;csoc_Q29_09_3;csoc_Q29_09_4;csoc_Q29_09_5;csoc_Q29_10_1;csoc_Q29_10_2;csoc_Q29_10_3;csoc_Q29_10_4;csoc_Q29_10_5;csoc_Q29_11_1;csoc_Q29_11_2;csoc_Q29_11_3;csoc_Q29_11_4;csoc_Q29_11_5;csoc_Q29_12_1;csoc_Q29_12_2;csoc_Q29_12_3;csoc_Q29_12_4;csoc_Q29_12_5;csoc_Q30_01;csoc_Q30_02;csoc_Q30_03;csoc_Q30_04;csoc_Q30_05;csoc_Q30_06;csoc_Q30_07;csoc_Q30_08;csoc_Q31;csoc_SEXE_1;csoc_AGE_1;csoc_SEXE_2;csoc_AGE_2;csoc_Q34_1;csoc_Q35_1;csoc_Q36_1;csoc_Q37_1;csoc_Q38_1;csoc_Q39_1;csoc_Q40_1;csoc_Q41_1;csoc_Q42_1;csoc_Q43_1_1;csoc_Q43_1_2;csoc_Q43_1_3;csoc_Q43_1_4;csoc_Q43_1_5;csoc_Q43_1_6;csoc_Q34_2;csoc_Q35_2;csoc_Q36_2;csoc_Q37_2;csoc_Q38_2;csoc_Q39_2;csoc_Q40_2;csoc_Q41_2;csoc_Q42_2;csoc_Q43_2_1;csoc_Q43_2_2;csoc_Q43_2_3;csoc_Q43_2_4;csoc_Q43_2_5;csoc_Q43_2_6;csoc_Q44;csoc_Q45_1;csoc_Q45_2;csoc_Q45_3;csoc_Q45_4;csoc_Q45_5;csoc_Q45_6;csoc_Q45_7;csoc_Q45_8;csoc_Q45_9;csoc_Q45_10;csoc_Q45_11;csoc_Q46;csoc_Q47;csoc_Q48;csoc_Q49;csoc_Q50;csoc_Q51;csoc_Q52;csoc_Q53;csoc_Q54;csoc_Q55;csoc_Q56;csoc_Q57_1;csoc_Q57_2;csoc_Q57_3;csoc_Q57_4;csoc_Q57_5;csoc_Q57_6;csoc_Q57_7;csoc_Q57_8;csoc_Q57_9;csoc_Q57_10;csoc_Q57_11;csoc_Q58;csoc_Q59;csoc_Q60;csoc_Q61;csoc_Q62;csoc_Q63;csoc_Q64;csoc_Q65;csoc_Q66;csoc_Q67;csoc_Q68;csoc_Q69_1;csoc_Q69_2;csoc_Q69_3;csoc_Q69_4;csoc_Q69_5;csoc_Q69_6;csoc_Q69_7;csoc_Q69_8;csoc_Q69_9;csoc_Q70;csoc_Q71;csoc_Q72;csoc_Q73;csoc_Q74_1;csoc_Q74_2;csoc_Q74_3;csoc_Q74_4;csoc_Q75_1;csoc_Q75_2;csoc_Q75_3;csoc_Q75_4;csoc_Q75BIS_1;csoc_Q75BIS_2;csoc_Q75BIS_3;csoc_Q75BIS_4;csoc_Q76_1;csoc_Q76_2;csoc_Q76_3;csoc_Q76_4;csoc_Q77_1;csoc_Q77_2;csoc_Q77_3;csoc_Q77_4;csoc_Q78_1;csoc_Q78_2;csoc_Q78_3;csoc_Q78_4;csoc_CCL4;csoc_CCL5;csoc_CCL6;csoc_CCL7_1;csoc_CCL7_2;csoc_CCL7_3;csoc_CCL7_4;csoc_CCL7_5;csoc_CCL7_6;ea19_A1;ea19_A2A_rec;ea19_A4;ea19_A5;ea19_A5C_rec;ea19_A3B_rec;ea19_A3_rec;ea19_A3C_rec;ea19_A3D;ea19_A3E_rec;ea19_B1;ea19_B1B;ea19_B2_rec;ea19_B5_rec;ea19_B5B_rec;ea19_B5C;ea19_B6B_rec;ea19_B6A_rec;ea19_B7B_rec;ea19_B25;ea19_B10A;ea19_B10AA;ea19_B11;ea19_B18_rec;ea19_B18C;ea19_C1_rec;ea19_C1JEU;ea19_TYPMEN5;ea19_C8;ea19_C8A_rec;ea19_C8B_rec;ea19_B1CJT;ea19_B1ACJT;ea19_B1BCJT;ea19_B2CJT_rec;ea19_B4CJT_rec;ea19_B10ACJT;ea19_B18CJT_rec;ea19_B18CCJT;ea19_D1_rec;ea19_D1A;ea19_D2;ea19_D3;ea19_D4_rec;ea19_D5_rec;ea19_D6;ea19_D7_1;ea19_D7_2;ea19_D7_3;ea19_D7_4;ea19_D7_5;ea19_D7_6;ea19_D7_7;ea19_D7_8;ea19_D7_9;ea19_D7_10;ea19_E1A;ea19_E1B;ea19_E1C;ea19_E1D;ea19_E1E;ea19_E1F;ea19_E1G;ea19_E1H;ea19_E1I;ea19_E1J;ea19_E2A_rec;ea19_E2AUC;ea19_E3A;ea19_E3B;ea19_E3C;ea19_E3D;ea19_E3E;ea19_E4;ea19_E5;ea19_F1_rec;ea19_F3;ea19_F6_rec;ea19_F7;ea19_F8;ea19_G1;ea19_G2;ea19_G3A;ea19_G3B;ea19_G3C;ea19_G4;ea19_G6_1;ea19_G6_2;ea19_G6_3;ea19_G6_4;ea19_G5;ea19_H1A;ea19_H4;ea19_I1;ea19_I8;ea19_J1;ea19_K3;B_ea19_PCS31;B_ea19_PCS31CJT;insee_NUTS1;insee_CATAEU2010;insee_TAU2014;insee_TUU2014;cal_SEXE;cal_AGE1;cal_AGE2;cal_NAT;cal_DIPL;cal_ZEAT;POIDS_INIT;PDSPLT_INIT;POIDS_csoc;PDSPLT_csoc;PDSLNG_ea19
852;3;1;3;3;3;4;2;2;2;1;2;1;4;3;1;5;1;3;1;3;2;1;1;3;1;3;1;2;3;2;4;2;7;1;2;1;3;3;2;1;5;3;6;4;2;4;95;5;2;4;4;5;3;2;1;1;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;1;1;25;1;24;8;1;2;5;9;6;2;3;2;2;1;1;1;1;1;10;1;3;5;14;6;4;3;3;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2019;1;1;666;6;1;666;66;2;66;1;2;2;2;2;2;2;2;2;2;1;2;2018;2;66;666;9;2;66;1;2019;6;1;2;1;2;2;2;1;1;2;2;2;2;7;66;2;2;4;2;1;1;5;4;1;1;5;4;10;20;0;5;3;5;2;1;4;6;1;3;5;4;3;3;3;4;3;3;3;1;5;1;3;66;1;1;6;2;6;1;1;4;2;6;66;6;66;2;2;6;6;6;11;5;1;1;1;2;6;6;66;6;6;66;6;6;66;6;3;1;4;2;2;1;5;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;10;9;3;2;1;1;2;2;2;96;4;1;1;2;1;3;2;2;2;2;2;1;1;2;1;2;1;1;5;3;1;38;666;2;111;8;7;1;1;1;1;4;6;1,01553617605393;NA;2,03791175170977;NA;2,13051698979741
853;4;2;3;4;3;1;4;2;4;3;1;2;1;5;1;1;5;6;1;1;1;3;1;6;3;1;1;2;1;1;4;2;5;5;1;3;2;3;3;3;3;3;2;2;1;1;1;6;2;2;1;4;3;3;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;2;56;9;999;6;4;4;4;36;7;3;2;4;1;1;2;2;2;2;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;1;2;2;2;2;2;2;2;2;2;2;1;2011;1;1;666;6;4;666;66;2;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;1;2001;6;1;1;2;2;2;2;1;2;2;2;1;1;66;10;3;2;4;4;1;1;4;3;2;3;3;2;4;8;0;10;3;3;1;1;1;4;4;5;6;3;3;3;3;1;4;2;3;2;13;1;3;66;9;1;6;2;6;77;7;66;6;6;66;66;66;66;6;6;6;6;11;5;1;1;1;1;1;1;66;6;6;66;6;6;66;6;3;2;6;2;2;3;4;2;2;2;1;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;10;9;1;2;2;2;2;2;4;96;3;2;1;1;1;4;5;2;3;4;2;2;1;1;2;2;1;2;2;3;3;666;666;1;111;10;8;2;5;5;1;4;1;0,349793736381946;1,08069216565906;0,250697780574657;0,590283076646746;0,259867378343513
854;4;3;4;4;4;3;4;4;4;4;2;2;2;4;1;1;5;1;1;1;1;1;8;8;6;1;1;4;4;3;4;3;9;5;1;2;2;2;1;1;6;2;2;4;2;4;95;8;5;3;2;5;3;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;6;666;6;666;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;1;2;2;1;2;2;2;2;2;2;2;2;1992;1;1;666;6;7;666;66;2;66;1;2;2;1;2;2;2;2;2;2;2;2;2014;1;3;666;66;2;66;1;2012;11;2;1;2;2;2;2;1;2;2;2;1;1;66;3;2;3;5;5;2;3;5;3;2;2;5;3;0;2;0;0;3;3;1;1;1;1;3;3;8;4;4;3;3;3;2;2;3;1;11;1;3;66;3;1;6;2;6;3;2;5;6;6;66;66;4;8;6;1;6;6;10;4;1;1;1;2;6;6;66;6;6;66;6;6;66;6;3;2;4;2;2;4;3;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;5;3;1;1;2;2;2;2;2;96;2;3;2;2;4;2;2;2;1;5;1;2;2;2;2;2;1;1;4;3;2;47;666;1;111;10;8;1;4;4;1;3;1;1,75018838962496;NA;1,78666435788989;NA;1,80368294023164
855;1;4;3;3;3;3;3;1;1;1;1;1;1;5;1;1;1;3;3;3;3;3;7;7;4;7;6;1;1;2;3;1;8;1;1;2;1;1;1;2;2;3;3;4;95;95;6;4;2;2;4;5;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;1;1;2;1;1;1;1;2;2;2;2;1;2;1;2;1;1;2;1;2;1;1;1;1;2;1;2;1;2;1;1;47;1;50;14;1;1;4;6;13;2;4;2;1;1;2;2;2;2;10;3;2;3;12;13;4;5;4;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2008;2;6;0;1;7;666;66;2;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;3;3;3;2;2;3;4;2;1;3;2;8;20;10;4;4;5;4;4;6;6;6;4;10;4;4;4;4;1;1;4;1;1;13;4;1;7;1;1;6;2;6;6;2;5;6;6;66;66;2;11;6;6;6;1;10;4;4;1;4;1;3;1;1;6;1;1;6;6;8;3;2;6;66;1;6;5;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;11;5;1;1;1;2;1;2;3;1;1;2;1;2;1;3;2;1;1;1;2;2;1;2;2;1;1;1;3;3;1;43;42;3;112;9;3;1;5;5;1;4;3;1,3905877782168;NA;0,92540664113649;NA;0,90279075513223
856;3;1;3;2;2;4;4;1;2;1;2;2;2;4;1;5;4;1;1;7;1;1;1;8;6;1;1;2;3;2;3;2;7;3;2;2;3;1;1;2;7;2;4;2;4;4;95;6;5;4;2;4;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;6;666;6;666;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;3;4;3;2;3;5;4;3;3;5;4;8;3;1;4;4;3;1;2;6;5;3;4;2;4;3;2;2;4;4;3;4;1;8;2;1;4;1;1;6;2;6;1;1;5;1;6;66;66;6;4;2;6;6;6;10;4;4;3;4;2;6;6;1;6;1;3;6;6;10;4;2;6;66;1;5;4;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;12;7;1;2;1;2;2;2;3;2;2;2;2;2;2;2;2;2;1;3;2;2;1;2;2;1;1;2;3;2;4;55;43;2;111;8;6;1;3;3;1;3;2;0,85230769430971;NA;0,899705962260546;NA;0,91704059072939
857;4;3;3;3;4;3;3;1;1;5;3;3;2;2;6;6;3;3;3;2;7;2;8;8;8;3;1;1;1;1;5;3;5;88;3;2;6;1;6;2;6;3;7;4;95;6;2;4;2;7;3;3;2;3;1;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;56;1;57;14;3;1;3;15;12;1;4;5;1;1;2;2;2;2;14;3;1;3;5;12;2;4;5;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;3;3;4;4;3;3;5;4;5;5;5;5;2;5;2;1;4;4;3;3;3;1;1;1;7;4;4;3;5;3;3;5;5;1;14;4;1;7;9;1;6;2;6;6;2;6;6;6;66;66;2;4;6;6;6;1;6;2;2;1;3;2;6;6;1;6;1;6;6;6;8;3;1;6;66;1;5;5;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;77;99;1;2;1;2;2;2;3;3;2;3;7;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;8;3;1;64;54;5;111;3;3;1;6;6;1;2;5;1,29120798963976;NA;0,898766012473654;NA;0,872178093502313
858;3;4;3;3;4;3;3;3;1;2;2;3;1;2;1;1;5;1;1;3;3;1;1;3;1;1;1;2;3;3;2;3;6;4;2;1;2;2;3;2;6;2;3;2;96;4;95;5;5;2;2;4;3;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;6;666;6;666;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;1;2;1;2;2;2;2;2;2;2;1;2;2017;1;1;666;6;1;666;66;2;66;1;2;1;2;2;2;2;2;2;2;1;2;2018;1;5;666;66;2;66;1;2002;14;2;2;2;2;2;2;2;2;1;2;1;3;66;9;3;3;3;4;2;2;4;1;4;4;5;5;2;0;1;5;3;2;3;3;3;2;3;3;2;4;3;2;2;4;1;1;2;1;8;3;2;2;1;1;6;2;6;1;1;5;1;6;66;66;2;1;2;6;6;6;10;4;2;1;2;2;6;6;66;6;6;66;6;6;66;6;1;6;66;1;6;5;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;11;8;1;2;1;2;2;2;3;2;2;2;2;2;1;1;3;2;1;1;2;2;1;2;2;2;1;2;9;1;1;65;666;8;111;9;7;1;3;3;1;3;8;1,09164619294676;0,770269977083958;1,17243063519906;1,18704103255585;1,17960080583321
859;4;3;3;4;4;4;3;4;4;2;2;2;3;5;1;5;3;4;1;8;8;3;7;8;3;8;1;2;2;2;4;2;5;8;3;3;3;1;2;2;6;3;1;2;95;6;4;6;6;4;3;3;2;3;2;2;1;1;2;1;2;1;1;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;6;666;6;666;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;3;3;4;4;3;3;4;4;3;3;4;4;4;1;1;0;2;1;1;1;3;3;2;1;7;1;3;3;3;3;2;3;4;1;14;4;1;7;2;3;9;2;6;6;1;9;6;6;66;66;66;1;6;6;6;6;11;5;2;1;3;1;2;1;6;2;2;9;1;6;8;3;1;6;66;1;5;5;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;7;3;1;2;2;2;2;2;3;3;1;2;1;1;1;3;3;2;2;2;1;2;2;2;2;1;2;2;2;2;2;21;42;4;211;2;3;1;6;6;3;4;4;0,501257810843374;NA;0,254887209840916;NA;0,259054774722594
860;4;4;3;4;4;3;4;3;4;2;1;2;1;5;1;1;5;1;1;3;3;3;7;3;3;3;1;1;1;1;4;2;5;1;1;3;3;1;1;3;3;3;2;3;95;4;95;2;2;3;2;5;2;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;70;1;65;5;4;6;4;45;4;2;3;3;1;1;2;2;2;2;6;4;6;4;39;4;2;2;2;1;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;3;1;2;5;2;1;3;5;2;1;3;5;3;15;0;0;3;4;2;1;3;5;3;1;6;4;4;4;5;3;4;4;3;1;14;3;1;7;1;1;6;2;6;6;2;9;6;6;66;66;66;11;6;6;6;1;11;5;1;1;1;2;6;6;6;2;2;9;1;6;10;4;3;1;5;1;3;5;5;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;6;4;2;2;2;2;2;1;3;1;2;3;2;2;1;5;3;9;9;5;2;2;1;2;1;1;2;1;2;4;1;35;35;1;111;10;8;1;6;6;1;4;1;1,19385056070825;NA;0,855458941035333;NA;0,865999266015001
861;4;1;4;3;3;1;4;1;1;1;1;1;1;3;1;1;2;1;1;3;3;3;1;1;1;1;1;2;1;1;3;2;2;2;4;2;3;1;1;1;4;2;2;2;3;4;95;6;2;2;5;5;2;3;1;2;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;39;2;44;3;4;2;5;9;13;3;2;2;2;1;1;2;2;2;9;3;3;4;7;4;3;3;4;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2018;1;1;666;6;1;666;66;2;66;1;2;1;2;2;2;2;2;2;2;2;2;2016;1;5;666;66;2;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;2;5;3;2;2;5;4;4;2;5;2;2;1;0;4;2;3;1;2;3;3;1;3;1;4;4;1;2;4;4;1;4;2;8;1;3;66;1;1;6;2;6;1;1;4;1;6;66;2;66;7;2;6;6;6;8;3;1;1;1;2;6;6;66;6;6;66;6;6;66;6;2;6;66;2;3;4;5;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;9;7;1;2;2;1;1;2;4;96;3;2;2;2;2;3;3;2;2;4;2;2;2;1;2;2;1;3;5;1;3;46;666;1;112;10;1;2;3;3;1;3;1;0,82647064682487;NA;0,940362900500756;NA;0,998755089011976
862;3;2;3;3;2;3;3;4;3;2;2;3;3;4;1;3;2;3;3;3;1;3;1;5;6;3;1;4;4;4;3;4;6;5;2;2;2;2;3;3;4;2;3;2;2;1;95;2;2;1;3;4;5;3;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;2;1;2;2;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;1;31;2;35;6;3;6;3;7;7;3;2;2;2;1;2;2;1;2;13;2;3;5;11;4;5;2;2;2;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;2;2015;1;1;666;6;1;666;66;2;66;1;2;1;2;2;2;2;2;2;2;1;2;2016;1;9;666;66;2;66;1;2014;6;1;1;2;2;2;2;2;2;2;2;2;3;9;66;4;2;4;3;1;2;5;5;1;1;5;1;5;10;0;2;3;3;1;2;4;5;3;5;3;4;4;3;2;4;3;3;2;2;5;1;2;1;3;3;2;2;6;3;2;1;6;6;66;5;66;9;6;1;6;6;11;5;1;1;1;2;6;6;66;6;6;66;6;6;66;6;3;2;4;3;1;3;1;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;5;3;1;2;2;2;2;2;2;2;2;4;1;1;2;4;2;2;2;5;2;2;1;2;1;2;1;3;4;2;2;34;666;8;111;9;7;2;2;2;3;4;8;0,116980182449062;0,577258280217047;0,175785896948522;1,69798518035557;0,202164487281791
863;4;4;4;4;4;4;3;3;3;2;1;1;1;3;1;1;5;1;1;3;3;3;7;3;1;3;1;3;3;3;3;3;8;0;2;1;6;2;2;2;5;2;3;4;3;5;96;6;1;3;1;5;2;4;3;1;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;1;54;9;999;8;1;5;4;5;4;2;2;2;2;1;1;2;2;2;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;2;4;4;1;1;4;4;2;2;4;4;5;3;1;3;3;2;1;3;1;3;1;3;5;3;3;2;1;4;4;3;4;1;10;1;2;2;3;1;6;2;6;1;1;1;1;6;66;6;66;9;2;6;6;6;10;4;2;1;2;2;6;6;66;6;6;66;6;6;66;6;3;2;4;2;3;2;5;1;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;11;9;1;1;2;2;1;1;3;2;2;2;2;2;1;3;3;3;2;3;2;1;1;2;2;2;1;2;4;3;3;42;666;8;111;9;7;1;4;4;1;4;8;1,06032709206957;NA;0,944755399017285;NA;0,959972971592544
864;3;5;4;3;5;4;4;3;4;2;1;4;3;3;1;1;4;1;1;6;6;1;7;8;1;6;2;1;2;1;3;2;8;7;3;2;4;1;1;2;6;2;2;3;95;4;2;6;5;2;2;5;2;3;1;1;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;8;8;8;8;8;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;6;666;6;666;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;2;2;2;2;2;1;2;2;2;2;2007;1;2;666;66;2;66;1;1969;8;2;1;2;2;2;2;2;2;2;2;1;2;66;9;3;3;3;5;1;2;4;4;2;1;5;4;3;2;2;0;3;3;1;1;3;3;2;1;7;3;3;3;4;3;3;2;2;2;13;4;1;7;1;1;6;2;6;6;2;1;6;6;66;6;66;9;6;6;6;1;8;3;2;1;3;1;2;1;6;2;2;5;6;6;7;2;1;6;66;1;4;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;11;8;1;1;2;2;3;1;4;3;2;1;2;1;1;5;3;1;2;2;1;2;2;2;2;2;1;2;5;2;3;42;37;5;221;1;2;2;5;5;1;3;5;1,11690985399571;NA;0,699923354769918;NA;0,681292849142858
